hash,Task,Condition,Order,Start,End,Word,TaskText,ResponseStart,ResponseEnd,ResponseFlag,ResponseLatency,ResponseDuration,isHrValid,isScValid,fHr1,fHr2,fHr3,fHr4,fHr5,fHr6,fHr7,fSc1,fSc2,fSc3,fSc4,fSc5,fSc6
0efd4,Reading,Pre,1,140,145,4,4,140.784609,141.707787,1,0.784608999999989,0.923178000000007,1,1,0.259399999999982,0.818142857142858,0.0984012678973625,0.0919293206762598,0.111504567370199,1.05169882550335,-0.202416703242448,37.615310712127,2.84714045857467,1,0.0140670781236844,-0.050204756483272,0.108861909899808
0efd4,Reading,Pre,2,145,150,6,6,145.492816,146.185199,1,0.492816000000005,0.692383000000007,1,1,0.13499999999998,0.747222222222222,0.0487718611951982,0.0444929769738948,0.0571715787302974,0.974406332453835,0.0192267823193336,32.2375534624045,2.23734856417636,2,0.0148603743699726,0.04101471943441,-0.0903662697362253
0efd4,Reading,Pre,3,150,155,5,5,150.477976,151.078041,1,0.477976000000012,0.600065000000001,1,1,0.107000000000005,0.688444444444444,0.0416986543880966,0.038237743134243,0.0598529714498896,1.10267314702308,0.0584765617097231,23.2670705166765,2.23734856417636,1,0.00841957253277576,0.098866834078659,-0.120133743681897
0efd4,Reading,Pre,4,155,160,0,0,155.601612,156.201678,1,0.601611999999989,0.600065999999998,1,1,0.128500000000003,0.712375000000002,0.0507597633113899,0.0390494192384105,0.0571937576492757,1.12887560702277,0.0439251352828005,16.9653614443524,3.0374685223924,2,-0.00279178524419057,0.0954061598903847,-0.117838151685992
0efd4,Reading,Pre,5,160,165,1,1,160.694123,161.649553,1,0.69412299999999,0.955430000000007,1,1,0.169199999999995,0.66822222222222,0.0699745985657968,0.0521080607967706,0.0748055692260855,1.04620107444359,0.118854597056563,15.3500406312689,3.13582085349449,2,-0.0138399369259316,-0.0368604544192987,0.0493682365661002
0efd4,Reading,Pre,6,165,170,4,4,165.47127,166.563189,1,0.471270000000004,1.09191899999999,1,1,0.0931000000000068,0.717000000000002,0.036695659533132,0.0251963716208742,0.0597305045287451,0.943747882073865,0.00490142586126046,31.3591134009916,4.26105457705758,2,-0.0179015432817925,0.0414444744554937,0.0736140417791238
0efd4,Reading,Pre,7,170,175,5,5,170.566894,171.340336,1,0.566893999999991,0.773442000000017,1,1,0.148599999999993,0.707999999999998,0.0585832740635066,0.0353040365963988,0.0468640716966247,0.869155206286832,-0.0436394681776198,25.3852271951693,1.68513887954456,2,-0.00664010186853687,-0.162537744326071,0.0115684719876323
0efd4,Reading,Pre,8,175,180,2,2,175.844503,176.70894,1,0.844503000000003,0.864437000000009,1,1,0.227900000000014,0.679500000000001,0.0968474499996214,0.0724105359342588,0.0930355382495087,1.24464438731792,0.124583119673697,17.8526889733861,5.51448323575288,1,0.00492841882590184,-0.0573745588601646,0.153968208344099
0efd4,Reading,Pre,9,180,185,8,8,180.712644,181.622576,1,0.712644000000012,0.909931999999998,1,1,0.105700000000007,0.763124999999999,0.0434985631946674,0.0489679195275645,0.0591394310661765,1.02085402184708,0.0413924965255665,22.8136039679214,3.01995075743359,2,-0.00362153025240509,-0.0730101306905036,-0.061906778450826
0efd4,Reading,Pre,10,185,190,7,7,185.580784,186.354227,1,0.580783999999994,0.773443000000015,1,1,0.0968000000000074,0.732777777777778,0.0366768925134711,0.0383340579641747,0.0491055345105699,0.993197278911557,-0.000902231137498717,12.8878517949049,3.21644652776815,1,-0.0131357002848189,-0.110312968167771,0.0116328566300996
0efd4,Reading,Pre,11,190,195,2,2,190.721904,191.44985,1,0.721903999999995,0.727946000000003,1,1,0.2096,0.766875000000002,0.0839377958456654,0.0567060087519116,0.0685270122247093,1.18390484155747,0.036791151281423,26.4446360500774,3.69437743711606,1,-0.00206491568224341,0.135340731774865,0.0263614805085423
0efd4,Reading,Pre,12,195,200,0,0,195.635541,196.31799,1,0.635540999999989,0.68244900000002,1,1,0.132600000000002,0.806571428571427,0.0515359329104683,0.0479826357480839,0.0643646732731055,0.940300010067461,0.0218837117172363,22.8149660207852,2.59572964515423,2,0.00985839598363454,0.0221661383526485,-0.000160865661693608
0efd4,Reading,Pre,13,200,205,6,6,200.776661,201.413614,1,0.77666099999999,0.636953000000005,1,1,0.142500000000007,0.809875000000002,0.0531720589891258,0.0476355209601302,0.0590371128777355,0.986204782342125,-0.0858901079219295,12.2104022098634,2.30295940605853,2,-0.000511765742624692,-0.0717374128143698,0.0248898391306438
0efd4,Reading,Pre,14,205,210,3,3,205.917781,206.32725,1,0.917780999999991,0.409469000000001,1,1,0.201999999999992,0.771857142857142,0.0809226556069158,0.09154233993076,0.112798332097936,1.07764390896921,-0.087217893841911,10.6224614330535,0.757562157768206,1,-0.0149254637295481,-0.00641087799677071,0.0087711123650206
0efd4,Reading,Pre,15,210,215,7,7,210.922411,211.468371,1,0.922411000000011,0.54595999999998,1,1,0.0978000000000065,0.782624999999999,0.0408828902389028,0.0379153191806682,0.0611915817750605,1.04274061990212,-0.0215430056849767,14.0439825935974,1.93717157581495,2,-0.0101146991110566,0.0208099477568856,-0.099261680555283
0efd4,Reading,Pre,16,215,220,8,8,215.654061,216.518497,1,0.654061000000013,0.864435999999984,1,1,0.0548000000000031,0.761499999999998,0.0203820649451591,0.028545702703865,0.0374733241746241,0.970883209317363,0.00240540421154654,10.3593976212685,1.93733287545881,1,-0.000304285345406127,-0.0445220099415632,0.0578193375482232
0efd4,Reading,Pre,17,220,225,1,1,220.613195,221.295644,1,0.61319499999999,0.68244900000002,1,1,0.179000000000019,0.748142857142856,0.0691626791736454,0.0507756503322869,0.0621291142030218,1.14103472714389,0.110260547369808,14.2183774393128,1.91767445727385,2,0.00164637502589185,-0.0653324424248717,0.0640523253395256
0efd4,Reading,Pre,18,225,230,9,9,225.617825,226.254778,1,0.617825000000011,0.636952999999977,1,1,0.186699999999996,0.761624999999999,0.0795952932922903,0.0628308386520059,0.0825581914526542,0.898130841121487,0.0655269067350571,14.8990573984502,2.29948070936723,2,-0.00101029395600294,-0.0660495354270394,0.0666049901335707
0efd4,Reading,Pre,19,230,235,3,3,230.804441,231.350401,1,0.804440999999997,0.545960000000008,1,1,0.136900000000003,0.751999999999999,0.0553224315135492,0.0399159831932667,0.0771410567128917,0.909235163440169,0.0103070101889096,10.1366662921041,2.20895514695809,1,-0.00244809209190737,-0.0873540665977161,0.0475800026292303
0efd4,Reading,Pre,20,235,240,9,9,235.763575,236.400528,1,0.763575000000003,0.636953000000005,1,1,0.126100000000008,0.726125,0.0511452762795746,0.0339516462887299,0.0480092622373737,0.883592736705592,-0.0346702453307927,23.775489383822,2.81496329446058,2,0.000307188163956839,0.133114131564321,-0.111276697599974
0efd4,Arithmetic,High,1,250,265,8,1-4/2+9,259.285336,260.104276,1,9.28533599999997,0.818940000000055,1,1,0.137900000000011,0.772124999999999,0.0577319854401141,0.0408201630850065,0.0520954274553065,0.902957486136776,-0.0603796312844743,30.1561810527292,2.96716940315091,1,0.00363804321101075,-0.0232188340497597,0.0614559620859222
